dataset_name,algorithm_name,auc_roc,auc_pr,f1_best,fit_time_sec,predict_time_sec,seed,timestamp,notes,experiment_name,modality,status,best_threshold,contamination_mode,contamination_rate,label_flip_rate,n_train,n_test,train_anomaly_rate,test_anomaly_rate,fit_params,artifact_path,error_type,error_message
cardio,Defended_XGBoost_COPOD_Trim,0.994941,0.967477,0.923077,0.076718,0.001234,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.758808,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_COPOD_Trim_216f771180.npz,,
cardio,Defended_XGBoost_COPOD_Flip,0.976225,0.822954,0.762712,0.087894,0.001337,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.167125,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_COPOD_Flip_ba06b4e065.npz,,
cardio,Defended_XGBoost_OCSVM_Trim,0.998973,0.990939,0.953271,0.103715,0.001226,42,2026-06-04T14:47:20Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.717498,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_OCSVM_Trim_5d3a626852.npz,,
cardio,Defended_XGBoost_OCSVM_Flip,0.982806,0.8692,0.784615,0.115658,0.001227,42,2026-06-04T14:47:20Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.166281,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_OCSVM_Flip_5818aab257.npz,,
cardio,Defended_XGBoost_AutoEncoder_Trim,0.999315,0.993371,0.972477,7.554658,0.001525,42,2026-06-04T14:47:27Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.631155,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_AutoEncoder_Trim_39f06b62ba.npz,,
cardio,Defended_XGBoost_AutoEncoder_Flip,0.978583,0.843726,0.754386,7.417854,0.001657,42,2026-06-04T14:47:35Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.504826,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_AutoEncoder_Flip_cb7e97f1f1.npz,,
cardio,Defended_XGBoost_DeepSVDD_Trim,0.998745,0.98877,0.951456,2.207392,0.001379,42,2026-06-04T14:47:37Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.964538,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_DeepSVDD_Trim_34c2335425.npz,,
cardio,Defended_XGBoost_DeepSVDD_Flip,0.988093,0.913079,0.854369,2.221548,0.001541,42,2026-06-04T14:47:39Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.937584,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_DeepSVDD_Flip_bafc8dea81.npz,,
cardio,Standard_RF,0.999467,0.995315,0.961538,0.246091,0.035384,42,2026-06-04T14:47:39Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.56,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,"{""n_estimators"": 100}",/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Standard_RF_d52a6a70a2.npz,,
cardio,Defended_RF_IQR_Trim,0.999011,0.991358,0.961538,0.268237,0.032963,42,2026-06-04T14:47:40Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.4,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_IQR_Trim_920f8b4789.npz,,
